,strong,weak,input,type,benchmark,Logistic Regression,SVM,MLP,Ensemble,RouteLLM
91,gemini-2.5-flash-lite,llama3-8b,internal state,2/3,APPS,0.7020617558803587,0.6683767302294049,0.6168328332204028,0.6866227857903389,0.6324169973865055
92,gemini-2.5-flash-lite,llama3-8b,internal state,3/4,APPS,0.6857032233084884,0.668037944051881,0.6540509147226776,0.6790242958087309,0.6133481753944431
93,gemini-2.5-flash-lite,llama3-8b,prompt embedding,nomic-embed-text,APPS,0.6383215564804935,0.6369664117703977,0.5937469751234138,0.6139289516987685,0.5352821604878512
94,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-large,APPS,0.7118381570031922,0.713580485916172,0.6629077533636605,0.7058368018584833,0.6272868066982846
95,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-small,APPS,0.711886555028553,0.7145000483980227,0.6700222630916646,0.701577775626753,0.632755783564028
96,gemini-2.5-flash-lite,llama3.1-8b,internal state,1/2,APPS,0.9006941061860759,0.8430345835362945,0.8239162201656162,0.874452021432058,0.8175840233804254
97,gemini-2.5-flash-lite,llama3.1-8b,internal state,2/3,APPS,0.8749391134924573,0.7761811982464739,0.7380662445202185,0.8534461763273324,0.8234291281052172
98,gemini-2.5-flash-lite,llama3.1-8b,internal state,3/4,APPS,0.8570384802727785,0.7512177301510032,0.8139917194349781,0.8398075986361487,0.7986483195323968
99,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,nomic-embed-text,APPS,0.6934973209936725,0.6453360935216795,0.7159035557720449,0.7176692644909938,0.672735021919146
100,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-large,APPS,0.7755114466634262,0.7811130053580188,0.6810155869459372,0.7761811982464751,0.6971505114466688
101,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-small,APPS,0.7765465172917747,0.7807476863127192,0.6550170482221178,0.7786775450560218,0.696785192401369
102,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,1/2,APPS,0.6588649155722336,0.6551125703564737,0.6514540337711083,0.6456848030018772,0.6988273921200759
103,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,2/3,APPS,0.6482176360225156,0.6387898686679185,0.62579737335835,0.647279549718575,0.6888836772983121
104,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,3/4,APPS,0.6493902439024405,0.6341932457786135,0.5944183864915582,0.6356003752345231,0.6708255159474675
105,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,nomic-embed-text,APPS,0.6068011257035673,0.5863977485928724,0.5312382739212026,0.5977485928705465,0.5498592870544085
