,strong,weak,input,type,benchmark,Logistic Regression,SVM,MLP,Ensemble,RouteLLM
61,gpt-4o,llama3-8b,internal state,2/3,APPS,0.8666666666666667,0.8966666666666666,1.0,0.8466666666666667,1.0
62,gpt-4o,llama3-8b,internal state,3/4,APPS,0.8766666666666667,0.8866666666666667,1.0,0.8866666666666667,0.8966666666666666
63,gpt-4o,llama3-8b,prompt embedding,nomic-embed-text,APPS,0.9566666666666667,0.9466666666666667,0.9466666666666667,0.9366666666666666,0.9366666666666666
64,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-large,APPS,0.9166666666666666,0.9366666666666666,0.9266666666666666,0.9166666666666666,1.0
65,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-small,APPS,0.9166666666666666,0.9366666666666666,0.9066666666666666,0.9066666666666666,0.9033333333333333
66,gpt-4o,llama3.1-8b,internal state,1/2,APPS,0.7566666666666667,0.8666666666666667,1.0,0.7866666666666666,1.0
67,gpt-4o,llama3.1-8b,internal state,2/3,APPS,0.7966666666666666,0.8466666666666667,1.0,0.7966666666666666,0.8366666666666667
68,gpt-4o,llama3.1-8b,internal state,3/4,APPS,0.8266666666666667,0.8066666666666666,0.81,0.8066666666666666,0.8966666666666666
69,gpt-4o,llama3.1-8b,prompt embedding,nomic-embed-text,APPS,0.9566666666666667,0.9266666666666666,0.9566666666666667,0.9466666666666667,0.9066666666666666
70,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-large,APPS,0.9266666666666666,0.9466666666666667,0.9166666666666666,0.9566666666666667,0.9066666666666666
71,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-small,APPS,0.9266666666666666,0.9466666666666667,0.8966666666666666,0.9666666666666667,0.8966666666666666
72,gpt-4o,mistral-nemo-12b,internal state,1/2,APPS,0.8966666666666666,0.8966666666666666,1.0,0.9166666666666666,0.8933333333333333
73,gpt-4o,mistral-nemo-12b,internal state,2/3,APPS,0.8566666666666667,0.8866666666666667,1.0,0.8866666666666667,0.9066666666666666
74,gpt-4o,mistral-nemo-12b,internal state,3/4,APPS,0.7966666666666666,0.8766666666666667,1.0,0.8266666666666667,0.8933333333333333
75,gpt-4o,mistral-nemo-12b,prompt embedding,nomic-embed-text,APPS,0.9766666666666667,0.9366666666666666,0.9466666666666667,0.9566666666666667,0.9466666666666667
